timestamp,x,y,00:24:6C:26:87:60,00:24:6C:26:87:61,00:24:6C:26:87:62,00:24:6C:26:87:68,00:24:6C:26:87:69,00:24:6C:26:87:6A,00:24:6C:26:8B:10,00:24:6C:26:8B:11,00:24:6C:26:8B:12,00:24:6C:26:8B:18,00:24:6C:26:8B:19,00:24:6C:26:8B:1A,00:24:6C:2D:1A:08,00:24:6C:2D:1A:09,00:24:6C:2D:1A:0A,0A:31:A0:A0:44:95,0C:51:01:E3:94:50,0E:50:94:E3:01:51,0E:75:0C:69:DB:B0,10:7C:61:D0:7C:68,10:7C:61:D0:7C:6C,24:DE:C6:54:CC:69,24:DE:C6:54:CC:6A,26:6A:0E:B5:D6:69,30:87:D9:31:52:C9,30:87:D9:31:52:CC,30:87:D9:31:53:C9,30:87:D9:31:55:09,30:87:D9:31:55:C9,30:87:D9:31:6B:49,30:87:D9:31:76:0C,30:87:D9:31:77:68,30:87:D9:31:77:6C,30:87:D9:31:7C:E9,30:87:D9:31:7C:EC,30:87:D9:31:82:49,30:87:D9:31:82:4C,30:87:D9:31:82:A9,30:87:D9:31:82:AC,30:87:D9:31:89:C9,30:87:D9:31:95:E9,30:87:D9:31:95:EC,30:87:D9:31:97:29,30:87:D9:31:99:0C,30:87:D9:31:99:29,30:87:D9:31:99:2C,30:87:D9:71:52:C8,30:87:D9:71:52:CC,30:87:D9:71:53:C8,30:87:D9:71:55:08,30:87:D9:71:55:C8,30:87:D9:71:6B:48,30:87:D9:71:76:0C,30:87:D9:71:77:68,30:87:D9:71:77:6C,30:87:D9:71:7C:E8,30:87:D9:71:7C:EC,30:87:D9:71:82:48,30:87:D9:71:82:4C,30:87:D9:71:82:A8,30:87:D9:71:82:AC,30:87:D9:71:89:C8,30:87:D9:71:95:E8,30:87:D9:71:95:EC,30:87:D9:71:97:28,30:87:D9:71:99:0C,30:87:D9:71:99:28,30:87:D9:71:99:2C,30:87:D9:72:06:48,30:87:D9:B1:52:C8,30:87:D9:B1:52:CC,30:87:D9:B1:53:C8,30:87:D9:B1:55:08,30:87:D9:B1:55:C8,30:87:D9:B1:6B:48,30:87:D9:B1:76:0C,30:87:D9:B1:77:68,30:87:D9:B1:77:6C,30:87:D9:B1:7C:E8,30:87:D9:B1:7C:EC,30:87:D9:B1:82:48,30:87:D9:B1:82:4C,30:87:D9:B1:82:A8,30:87:D9:B1:82:AC,30:87:D9:B1:89:C8,30:87:D9:B1:95:E8,30:87:D9:B1:95:EC,30:87:D9:B1:97:28,30:87:D9:B1:99:0C,30:87:D9:B1:99:28,30:87:D9:B1:99:2C,30:87:D9:F1:52:C8,30:87:D9:F1:53:C8,30:87:D9:F1:55:08,30:87:D9:F1:55:C8,30:87:D9:F1:6B:48,30:87:D9:F1:76:08,30:87:D9:F1:77:68,30:87:D9:F1:7C:E8,30:87:D9:F1:82:48,30:87:D9:F1:82:A8,30:87:D9:F1:89:C8,30:87:D9:F1:95:E8,30:87:D9:F1:97:28,30:87:D9:F1:99:28,3C:33:32:BF:75:2A,3C:52:A1:88:19:2F,3C:52:A1:88:19:31,3C:7C:3F:0A:CF:08,3C:7C:3F:E1:3D:0C,3C:84:6A:9A:4B:A3,42:84:6A:9A:4B:A3,4A:9E:BD:05:4F:A4,50:C7:BF:AF:DD:61,50:C7:BF:AF:DD:62,56:B1:C0:22:3E:0B,5C:92:5E:9F:2A:44,5C:A6:E6:24:50:7B,5E:07:50:EF:DF:59,62:A6:E6:24:50:7B,6C:CD:D6:AF:C6:D4,70:4D:7B:0C:3A:60,72:7F:F0:05:54:C3,76:7F:F0:05:54:C4,78:32:1B:CC:37:44,7A:7C:61:D0:7C:6D,7C:10:C9:01:D7:24,7C:10:C9:4A:61:84,7C:10:C9:5D:99:D0,7C:10:C9:B7:59:58,7C:10:C9:B7:59:5C,82:52:A1:88:19:33,82:E8:2C:09:2D:12,86:69:93:DA:17:5C,8A:52:A1:88:19:29,8A:A2:F4:B1:A6:7E,8A:A2:F4:B1:A6:7F,90:8D:78:65:C0:90,94:BF:C4:32:CC:8C,94:BF:C4:72:CC:8C,94:BF:C4:B2:CC:8C,9C:A2:F4:B1:A6:7C,A0:36:BC:70:E0:D0,A0:36:BC:70:E0:D4,A0:36:BC:77:0B:80,A0:36:BC:77:0B:84,A0:36:BC:E3:50:28,A0:36:BC:E3:50:2C,A0:AD:9F:0D:58:48,A0:AD:9F:8F:7D:FC,A2:AD:9F:AF:7D:F8,A6:59:F2:86:20:1E,A8:5E:45:D9:1C:C8,A8:5E:45:D9:1C:CC,AA:3B:76:FB:85:D9,AE:92:9E:73:E5:25,B2:68:E6:92:06:AC,B6:F4:BF:12:5C:FB,B8:EC:A3:F1:B0:02,BC:FC:E7:BC:77:90,C8:78:7D:68:74:90,C8:78:7D:68:74:92,C8:7F:54:C1:90:88,C8:9E:43:D1:3D:32,C8:9E:43:D1:3D:33,CC:28:AA:02:9B:48,CE:0C:06:CB:DA:CA,D2:7C:61:D0:7C:69,DA:80:83:E3:4F:B8,E0:A2:5A:00:CA:65,E8:48:B8:ED:47:12,E8:9C:25:55:69:04,EA:9C:25:B1:D3:DA,EC:58:EA:18:FE:F9,EC:58:EA:18:FE:FC,EC:58:EA:19:00:79,EC:58:EA:19:00:7C,EC:58:EA:19:10:B9,EC:58:EA:19:10:BC,EC:58:EA:19:10:C9,EC:58:EA:19:10:CC,EC:58:EA:58:FE:F8,EC:58:EA:58:FE:FC,EC:58:EA:59:00:78,EC:58:EA:59:00:7C,EC:58:EA:59:10:B8,EC:58:EA:59:10:BC,EC:58:EA:59:10:C8,EC:58:EA:59:10:CC,EC:58:EA:98:FE:F8,EC:58:EA:98:FE:FC,EC:58:EA:99:00:78,EC:58:EA:99:00:7C,EC:58:EA:99:10:B8,EC:58:EA:99:10:BC,EC:58:EA:99:10:C8,EC:58:EA:99:10:CC,EC:58:EA:D8:FE:F8,EC:58:EA:D9:00:78,EC:58:EA:D9:10:B8,EC:58:EA:D9:10:C8,EC:AD:E0:AE:D5:AC,EC:AD:E0:AE:D5:AF,F0:2F:74:7A:F0:48,F0:2F:74:7A:F0:4C,F4:4D:5C:FD:D0:47,F6:46:5C:FD:D0:47,F6:46:5C:FD:D0:4E,F6:47:5C:FD:D0:4F,FA:34:5A:AC:CB:D0,FA:8F:CA:30:AD:3C,FC:34:97:B4:39:E0
1763705031,450,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-56.0,-62,-62.0,,-58,-89.0,-90.0,-90.0,-70.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-70.0,-87.0,-72.0,-86.0,-65,-83,-81.0,-65,-79,-81,-88.0,,,-83.0,-88.0,-75.0,-71.0,-77.0,-84.0,-87.0,-78.0,,-71,-87.0,-72.0,-85.0,-65,-83,-81.0,-65,-80,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-79.0,-78.0,,-84.0,-82.0,,-71,-88.0,-72.0,-86.0,-65,-83,,-65,-80,-78,-91.0,-78.0,,,-75.0,-77.0,-76.0,,-84.0,-78.0,-71,-72.0,-65,-82.0,-65,-77,-79.0,-76.0,-89.0,-77.0,-68.0,,-89.0,,-67,-82.0,,,-90.0,-86.0,-47,-83.0,-89.0,-75,-73.0,-90.0,-76.0,-88.0,,-89.0,-75.0,-57.0,-81.0,-75.0,-86.0,-67,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-81.0,-75.0,-86.0,-58,-71,-77.0,-89.0,-87.0,,-59,-76.0,-78,,-74.0,-60,-89.0,-75.0,-48,-53,-74.0,-87.0,-75.0,-73.0,,-60,-89.0,-67,-69.0,,-86.0,-69,-77,-49,-44,-40,-38,-63.0,-74,-69,-77,-50,-44,-41,-38,-63.0,-74,-69,-77,-50,-44,-40,-38,-63.0,-75,-69,-49,-40,-62.0,-67,-83.0,-71.0,-86.0,,,-76.0,,-89.0,-75.0,
1763705036,450,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-56.0,-62,-62.0,,-58,-89.0,-90.0,-90.0,-70.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-70.0,-87.0,-72.0,-86.0,-65,-83,-81.0,-65,-79,-81,-88.0,,,-83.0,-88.0,-75.0,-71.0,-77.0,-84.0,-87.0,-78.0,,-71,-87.0,-72.0,-85.0,-65,-83,-81.0,-65,-80,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-79.0,-78.0,,-84.0,-82.0,,-71,-88.0,-72.0,-86.0,-65,-83,,-65,-80,-78,-91.0,-78.0,,,-75.0,-77.0,-76.0,,-84.0,-78.0,-71,-72.0,-65,-82.0,-65,-77,-79.0,-76.0,-89.0,-77.0,-68.0,,-89.0,,-67,-82.0,,,-90.0,-86.0,-47,-83.0,-89.0,-75,-73.0,-90.0,-76.0,-88.0,,-89.0,-75.0,-57.0,-81.0,-75.0,-86.0,-67,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-81.0,-75.0,-86.0,-58,-71,-77.0,-89.0,-87.0,,-59,-76.0,-78,,-74.0,-60,-89.0,-75.0,-48,-53,-74.0,-87.0,-75.0,-73.0,,-60,-89.0,-67,-69.0,,-86.0,-69,-77,-49,-44,-40,-38,-63.0,-74,-69,-77,-50,-44,-41,-38,-63.0,-74,-69,-77,-50,-44,-40,-38,-63.0,-75,-69,-49,-40,-62.0,-67,-83.0,-71.0,-86.0,,,-76.0,,-89.0,-75.0,
1763705041,450,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-58.0,-62,-62.0,,-55,-89.0,-90.0,-90.0,-70.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-76.0,-87.0,-72.0,-86.0,-65,-83,-81.0,-65,-80,-81,-88.0,,,-83.0,-88.0,-75.0,-74.0,-77.0,-84.0,-87.0,-78.0,,-76,-87.0,-72.0,-85.0,-65,-83,-81.0,-64,-80,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-79.0,-78.0,,-84.0,-82.0,,-74,-88.0,-71.0,-86.0,-65,-83,,-64,-81,-78,-91.0,-78.0,,,-75.0,-77.0,-76.0,,-84.0,-78.0,-75,-72.0,-65,-82.0,-64,-77,-79.0,-76.0,-89.0,-77.0,-68.0,,-89.0,,-67,-82.0,,,-90.0,-86.0,-47,-83.0,-89.0,-76,-73.0,-88.0,-76.0,-88.0,,-89.0,-75.0,-56.0,-80.0,-75.0,-86.0,-67,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-81.0,-75.0,-86.0,-58,-70,-77.0,-89.0,-87.0,,-74,-76.0,-78,,-74.0,-60,-89.0,-75.0,-48,-53,-74.0,-87.0,-75.0,-73.0,,-56,-89.0,-67,-69.0,,-86.0,-68,-75,-50,-45,-40,-38,-60.0,-73,-69,-75,-50,-44,-40,-38,-61.0,-73,-69,-75,-50,-44,-40,-38,-61.0,-73,-70,-50,-40,-61.0,-66,-83.0,-74.0,-86.0,,,-76.0,,-89.0,-75.0,
1763705046,450,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-58.0,-62,-62.0,,-55,-89.0,-90.0,-90.0,-70.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-76.0,-87.0,-72.0,-86.0,-65,-83,-81.0,-65,-80,-81,-88.0,,,-83.0,-88.0,-75.0,-74.0,-77.0,-84.0,-87.0,-78.0,,-76,-87.0,-72.0,-85.0,-65,-83,-81.0,-64,-80,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-79.0,-78.0,,-84.0,-82.0,,-74,-88.0,-71.0,-86.0,-65,-83,,-64,-81,-78,-91.0,-78.0,,,-75.0,-77.0,-76.0,,-84.0,-78.0,-75,-72.0,-65,-82.0,-64,-77,-79.0,-76.0,-89.0,-77.0,-68.0,,-89.0,,-67,-82.0,,,-90.0,-86.0,-47,-83.0,-89.0,-76,-73.0,-88.0,-76.0,-88.0,,-89.0,-75.0,-56.0,-80.0,-75.0,-86.0,-67,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-81.0,-75.0,-86.0,-58,-70,-77.0,-89.0,-87.0,,-74,-76.0,-78,,-74.0,-60,-89.0,-75.0,-48,-53,-74.0,-87.0,-75.0,-73.0,,-56,-89.0,-67,-69.0,,-86.0,-68,-75,-50,-45,-40,-38,-60.0,-73,-69,-75,-50,-44,-40,-38,-61.0,-73,-69,-75,-50,-44,-40,-38,-61.0,-73,-70,-50,-40,-61.0,-66,-83.0,-74.0,-86.0,,,-76.0,,-89.0,-75.0,
1763705050,450,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-56.0,-63,-62.0,,-58,-89.0,-90.0,-90.0,-70.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-74.0,-88.0,-72.0,-86.0,-65,-83,-81.0,-65,-80,-81,-88.0,,,-83.0,-88.0,-75.0,-75.0,-77.0,-84.0,-87.0,-78.0,,-75,-87.0,-72.0,-85.0,-65,-83,-81.0,-65,-79,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-79.0,-78.0,,-84.0,-82.0,,-75,-86.0,-71.0,-86.0,-65,-83,,-65,-79,-78,-91.0,-78.0,,,-75.0,-76.0,-76.0,,-84.0,-78.0,-75,-73.0,-65,-82.0,-65,-77,-79.0,-76.0,-89.0,-77.0,-68.0,,-89.0,,-73,-82.0,,,-90.0,-86.0,-48,-83.0,-89.0,-76,-73.0,-88.0,-76.0,-88.0,,-89.0,-75.0,-56.0,-80.0,-75.0,-86.0,-66,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-81.0,-75.0,-86.0,-57,-72,-77.0,-89.0,-87.0,,-57,-76.0,-78,,-74.0,-60,-89.0,-75.0,-49,-53,-74.0,-87.0,-75.0,-73.0,,-58,-89.0,-67,-70.0,,-86.0,-69,-79,-50,-44,-40,-38,-62.0,-72,-69,-78,-50,-44,-40,-38,-62.0,-72,-69,-78,-50,-44,-40,-39,-62.0,-72,-68,-50,-40,-61.0,-65,-83.0,-74.0,-86.0,,,-76.0,,-89.0,-75.0,
1763705055,450,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-56.0,-63,-62.0,,-58,-89.0,-90.0,-90.0,-70.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-74.0,-88.0,-72.0,-86.0,-65,-83,-81.0,-65,-80,-81,-88.0,,,-83.0,-88.0,-75.0,-75.0,-77.0,-84.0,-87.0,-78.0,,-75,-87.0,-72.0,-85.0,-65,-83,-81.0,-65,-79,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-79.0,-78.0,,-84.0,-82.0,,-75,-86.0,-71.0,-86.0,-65,-83,,-65,-79,-78,-91.0,-78.0,,,-75.0,-76.0,-76.0,,-84.0,-78.0,-75,-73.0,-65,-82.0,-65,-77,-79.0,-76.0,-89.0,-77.0,-68.0,,-89.0,,-73,-82.0,,,-90.0,-86.0,-48,-83.0,-89.0,-76,-73.0,-88.0,-76.0,-88.0,,-89.0,-75.0,-56.0,-80.0,-75.0,-86.0,-66,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-81.0,-75.0,-86.0,-57,-72,-77.0,-89.0,-87.0,,-57,-76.0,-78,,-74.0,-60,-89.0,-75.0,-49,-53,-74.0,-87.0,-75.0,-73.0,,-58,-89.0,-67,-70.0,,-86.0,-69,-79,-50,-44,-40,-38,-62.0,-72,-69,-78,-50,-44,-40,-38,-62.0,-72,-69,-78,-50,-44,-40,-39,-62.0,-72,-68,-50,-40,-61.0,-65,-83.0,-74.0,-86.0,,,-76.0,,-89.0,-75.0,
1763705060,450,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-58.0,-61,-61.0,,-58,-89.0,-90.0,-90.0,-70.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-74.0,-88.0,-71.0,-86.0,-65,-81,-81.0,-65,-80,-81,-88.0,,,-83.0,-88.0,-75.0,-75.0,-77.0,-84.0,-87.0,-78.0,,-75,-87.0,-72.0,-85.0,-65,-83,-81.0,-65,-80,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-79.0,-78.0,,-84.0,-82.0,,-75,-86.0,-72.0,-86.0,-65,-82,,-65,-80,-78,-91.0,-78.0,,,-75.0,-76.0,-76.0,,-84.0,-78.0,-75,-71.0,-65,-82.0,-65,-77,-79.0,-76.0,-89.0,-77.0,-68.0,,-89.0,,-73,-82.0,,,-90.0,-86.0,-47,-83.0,-89.0,-76,-73.0,-88.0,-76.0,-88.0,,-89.0,-75.0,-56.0,-81.0,-75.0,-86.0,-68,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-82.0,-75.0,-86.0,-58,-71,-77.0,-89.0,-87.0,,-57,-76.0,-78,,-74.0,-60,-89.0,-75.0,-47,-53,-74.0,-87.0,-75.0,-73.0,,-54,-89.0,-67,-68.0,,-86.0,-69,-78,-50,-44,-40,-38,-61.0,-73,-69,-78,-50,-44,-41,-38,-62.0,-73,-69,-77,-50,-44,-40,-38,-61.0,-73,-68,-49,-40,-61.0,-66,-83.0,-73.0,-86.0,,,-76.0,,-89.0,-75.0,
1763705065,450,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-58.0,-60,-61.0,,-58,-89.0,-90.0,-90.0,-70.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-75.0,-87.0,-71.0,-86.0,-66,-81,-81.0,-65,-79,-81,-88.0,,,-83.0,-88.0,-75.0,-74.0,-77.0,-84.0,-87.0,-80.0,,-75,-87.0,-72.0,-85.0,-66,-83,-81.0,-65,-80,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-75.0,-78.0,,-84.0,-82.0,,-75,-88.0,-72.0,-86.0,-65,-82,,-65,-80,-78,-91.0,-78.0,,,-75.0,-75.0,-76.0,,-84.0,-78.0,-75,-68.0,-65,-82.0,-65,-77,-79.0,-75.0,-89.0,-77.0,-68.0,,-90.0,,-73,-82.0,,,-90.0,-86.0,-47,-83.0,-89.0,-76,-73.0,-88.0,-76.0,-88.0,,-89.0,-75.0,-56.0,-80.0,-75.0,-86.0,-67,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-82.0,-75.0,-86.0,-56,-70,-75.0,-89.0,-87.0,,-57,-76.0,-78,,-74.0,-60,-89.0,-75.0,-48,-53,-74.0,-87.0,-76.0,-73.0,,-56,-89.0,-67,-68.0,,-86.0,-69,-77,-50,-44,-40,-38,-62.0,-73,-70,-77,-50,-44,-40,-38,-62.0,-73,-69,-77,-50,-44,-40,-39,-63.0,-73,-69,-50,-40,-62.0,-66,-83.0,-74.0,-86.0,,,-76.0,,-89.0,-75.0,
1763705070,450,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-58.0,-60,-61.0,,-58,-89.0,-90.0,-90.0,-70.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-75.0,-87.0,-71.0,-86.0,-66,-81,-81.0,-65,-79,-81,-88.0,,,-83.0,-88.0,-75.0,-74.0,-77.0,-84.0,-87.0,-80.0,,-75,-87.0,-72.0,-85.0,-66,-83,-81.0,-65,-80,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-75.0,-78.0,,-84.0,-82.0,,-75,-88.0,-72.0,-86.0,-65,-82,,-65,-80,-78,-91.0,-78.0,,,-75.0,-75.0,-76.0,,-84.0,-78.0,-75,-68.0,-65,-82.0,-65,-77,-79.0,-75.0,-89.0,-77.0,-68.0,,-90.0,,-73,-82.0,,,-90.0,-86.0,-47,-83.0,-89.0,-76,-73.0,-88.0,-76.0,-88.0,,-89.0,-75.0,-56.0,-80.0,-75.0,-86.0,-67,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-82.0,-75.0,-86.0,-56,-70,-75.0,-89.0,-87.0,,-57,-76.0,-78,,-74.0,-60,-89.0,-75.0,-48,-53,-74.0,-87.0,-76.0,-73.0,,-56,-89.0,-67,-68.0,,-86.0,-69,-77,-50,-44,-40,-38,-62.0,-73,-70,-77,-50,-44,-40,-38,-62.0,-73,-69,-77,-50,-44,-40,-39,-63.0,-73,-69,-50,-40,-62.0,-66,-83.0,-74.0,-86.0,,,-76.0,,-89.0,-75.0,
1763705075,450,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-58.0,-60,-61.0,,-58,-89.0,-90.0,-90.0,-69.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-75.0,-87.0,-71.0,-86.0,-66,-81,-81.0,-65,-79,-81,-88.0,,,-83.0,-88.0,-75.0,-74.0,-78.0,-84.0,-87.0,-80.0,,-75,-87.0,-72.0,-85.0,-66,-83,-81.0,-64,-80,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-75.0,-78.0,,-84.0,-82.0,,-75,-88.0,-70.0,-86.0,-65,-82,,-65,-80,-78,-91.0,-78.0,,,-75.0,-75.0,-77.0,,-84.0,-78.0,-75,-68.0,-65,-82.0,-65,-77,-79.0,-75.0,-89.0,-77.0,-68.0,,-90.0,,-73,-82.0,,,-90.0,-86.0,-47,-83.0,-89.0,-76,-73.0,-88.0,-76.0,-88.0,,-89.0,-75.0,-56.0,-80.0,-75.0,-86.0,-67,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-82.0,-75.0,-86.0,-58,-70,-75.0,-89.0,-87.0,,-60,-76.0,-78,,-74.0,-60,-89.0,-75.0,-48,-58,-74.0,-87.0,-76.0,-73.0,,-56,-89.0,-67,-68.0,,-86.0,-69,-76,-50,-44,-40,-40,-62.0,-73,-70,-76,-49,-44,-41,-40,-61.0,-73,-69,-76,-50,-44,-40,-40,-63.0,-73,-69,-50,-40,-62.0,-67,-83.0,-74.0,-86.0,,,-76.0,,-89.0,-75.0,
1763705080,450,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-58.0,-60,-61.0,,-58,-89.0,-90.0,-90.0,-69.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-75.0,-87.0,-71.0,-86.0,-66,-81,-81.0,-65,-79,-81,-88.0,,,-83.0,-88.0,-75.0,-74.0,-78.0,-84.0,-87.0,-80.0,,-75,-87.0,-72.0,-85.0,-66,-83,-81.0,-64,-80,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-75.0,-78.0,,-84.0,-82.0,,-75,-88.0,-70.0,-86.0,-65,-82,,-65,-80,-78,-91.0,-78.0,,,-75.0,-75.0,-77.0,,-84.0,-78.0,-75,-68.0,-65,-82.0,-65,-77,-79.0,-75.0,-89.0,-77.0,-68.0,,-90.0,,-73,-82.0,,,-90.0,-86.0,-47,-83.0,-89.0,-76,-73.0,-88.0,-76.0,-88.0,,-89.0,-75.0,-56.0,-80.0,-75.0,-86.0,-67,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-82.0,-75.0,-86.0,-58,-70,-75.0,-89.0,-87.0,,-60,-76.0,-78,,-74.0,-60,-89.0,-75.0,-48,-58,-74.0,-87.0,-76.0,-73.0,,-56,-89.0,-67,-68.0,,-86.0,-69,-76,-50,-44,-40,-40,-62.0,-73,-70,-76,-49,-44,-41,-40,-61.0,-73,-69,-76,-50,-44,-40,-40,-63.0,-73,-69,-50,-40,-62.0,-67,-83.0,-74.0,-86.0,,,-76.0,,-89.0,-75.0,
1763705093,500,325,-76.0,-77.0,-76,-86.0,-90.0,-91.0,-76.0,-76.0,-75.0,-90.0,-90.0,-89.0,-92.0,-91.0,,-60.0,-56,-62.0,,-58,-86.0,-90.0,-90.0,-69.0,,-89.0,-75.0,-75.0,-76.0,-81.0,-87.0,-81.0,,-75.0,-87.0,-70.0,-86.0,-65,-82,-81.0,-66,-75,-81,-88.0,,,-83.0,-88.0,-75.0,-74.0,-78.0,-84.0,-87.0,-80.0,,-75,-87.0,-71.0,-85.0,-65,-82,-81.0,-66,-76,-78,-90.0,-80.0,,-77.0,,-88.0,-74.0,-75.0,-78.0,,-84.0,-82.0,,-75,-88.0,-71.0,-86.0,-65,-81,,-66,-76,-78,-91.0,-78.0,,,-75.0,-75.0,-77.0,,-84.0,-78.0,-73,-70.0,-65,-82.0,-66,-77,-79.0,-75.0,-89.0,-77.0,-68.0,,-90.0,-90.0,-75,-82.0,,,-90.0,-86.0,-47,-83.0,-89.0,-76,-73.0,-88.0,-76.0,-87.0,,-89.0,-75.0,-54.0,-80.0,-75.0,-86.0,-67,-88.0,-89.0,-89.0,-70.0,-86.0,-89.0,-88.0,-91.0,-73.0,-82.0,-75.0,-86.0,-59,-68,-75.0,-89.0,-87.0,,-59,-76.0,-78,,-74.0,-60,-89.0,-75.0,-48,-61,-74.0,-87.0,-76.0,-73.0,,-52,-89.0,-67,-67.0,,-86.0,-69,-85,-49,-45,-40,-47,-62.0,-73,-70,-85,-49,-45,-41,-47,-61.0,-73,-69,-85,-49,-45,-41,-47,-62.0,-73,-70,-49,-40,-62.0,-65,-83.0,-73.0,-86.0,,,-76.0,,-89.0,-75.0,
